name,price,piece_count,url,price_per_piece,age_range
Visit to the Vet Clinic,15.99,28,https://www.lego.com/en-us/product/visit-to-the-vet-clinic-10438,0.571,2+
The Devourer Showdown,35.99,420,https://www.lego.com/en-us/product/the-devourer-showdown-21257,0.086,8+
Izzie's Narwhal Hot-Air Balloon,12.79,156,https://www.lego.com/en-us/product/izzies-narwhal-hot-air-balloon-71472,0.082,7+
Nya's Rising Dragon Strike,7.99,26,https://www.lego.com/en-us/product/nyas-rising-dragon-strike-71802,0.307,6+
Elsa's Frozen Treats,12.79,82,https://www.lego.com/en-us/product/elsas-frozen-treats-43234,0.156,5+
Pet Adoption Day,44.99,400,https://www.lego.com/en-us/product/pet-adoption-day-42615,0.112,6+
Heartlake City Hospital Ambulance,27.99,344,https://www.lego.com/en-us/product/heartlake-city-hospital-ambulance-42613,0.081,6+
Farm Animal Vet Clinic,23.99,161,https://www.lego.com/en-us/product/farm-animal-vet-clinic-42632,0.149,4+
Electric Car and Charger,12.79,170,https://www.lego.com/en-us/product/electric-car-and-charger-42609,0.075,6+
Pop Star Music Tour Bus,50.99,845,https://www.lego.com/en-us/product/pop-star-music-tour-bus-42619,0.06,8+
Farm Animal Sanctuary,43.99,489,https://www.lego.com/en-us/product/farm-animal-sanctuary-42617,0.09,6+
Kai's Rising Dragon Strike,7.99,24,https://www.lego.com/en-us/product/kais-rising-dragon-strike-71801,0.333,6+
Heartlake City Music Talent Show,45.49,669,https://www.lego.com/en-us/product/heartlake-city-music-talent-show-42616,0.068,7+
Mars Space Base and Rocket,55.99,981,https://www.lego.com/en-us/product/mars-space-base-and-rocket-42605,0.057,8+
Medium Linear Motor,13.59,1,https://www.lego.com/en-us/product/medium-linear-motor-88008,13.59,7+
Play with Braille – English,89.99,287,https://www.lego.com/en-us/product/play-with-braille--english-alphabet-40656,0.314,6+
Hogsmeade™ Village Visit,71.99,851,https://www.lego.com/en-us/product/tbd-hp7-2021-76388,0.085,8+
Picnic at Mario's House Expansion Set,30.39,259,https://www.lego.com/en-us/product/tbd-leaf-10-2023-71422,0.117,6+
STEAM Park,239.95,295,https://www.lego.com/en-us/product/steam-park-45024,0.813,3-5
Truck & Tracked Excavator,19.99,20,https://www.lego.com/en-us/product/truck--tracked-excavator-10931,0.999,2+
Ariel's Treasure Chest,35.99,370,https://www.lego.com/en-us/product/ariels-treasure-chest-43229,0.097,6+
Asha's Cottage,29.99,509,https://www.lego.com/en-us/product/tbd-disney-princess-11-2023-43231,0.059,7+
Tech Machines,199.96,95,https://www.lego.com/en-us/product/tech-machines-45002,2.105,3-6
Play with Braille – French,89.99,287,https://www.lego.com/en-us/product/play-with-braille--french-40655,0.314,6+
Jay's Mech Battle Pack,9.99,78,https://www.lego.com/en-us/product/jays-mech-battle-pack-71805,0.128,6+
Christmas Ornament Santa,6.39,44,https://www.lego.com/en-us/product/christmas-ornament-santa-854037,0.145,6+
Train Motor,13.99,7,https://www.lego.com/en-us/product/train-motor-88011,1.999,7+
Grimkeeper the Cage Monster,30.39,274,https://www.lego.com/en-us/product/tbd-cage-titan-71455,0.111,7+
Life At The Day-Care Center,35.99,67,https://www.lego.com/en-us/product/life-at-the-day-care-center-10992,0.537,2+
LEGO® Education BricQ Motion Prime Set,159.95,564,https://www.lego.com/en-us/product/lego-education-bricq-motion-prime-set-45400,0.284,10+
Monkie Kid's Cloud Airship,34.99,540,https://www.lego.com/en-us/product/monkie-kids-cloud-airship-80046,0.065,7+
Igloo Holiday Adventure,34.99,491,https://www.lego.com/en-us/product/igloo-holiday-adventure-41760,0.071,8+
Lunar New Year Ice Festival,95.99,1519,https://www.lego.com/en-us/product/lunar-new-year-ice-festival-80109,0.063,8+
The Bus Ride,15.99,16,https://www.lego.com/en-us/product/the-bus-ride-10988,0.999,2+
Holiday Ski Slope and Café,79.99,980,https://www.lego.com/en-us/product/holiday-ski-slope-and-cafe-41756,0.082,9+
Monster Truck Race,23.99,301,https://www.lego.com/en-us/product/monster-truck-race-60397,0.08,6+
Modified Race Cars,23.99,359,https://www.lego.com/en-us/product/modified-race-cars-60396,0.067,6+
Sea Rescue Boat,47.99,717,https://www.lego.com/en-us/product/sea-rescue-boat-41734,0.067,7+
Ice-Cream Shop,31.99,296,https://www.lego.com/en-us/product/ice-cream-shop-60363,0.108,6+
Recycling Truck,15.99,15,https://www.lego.com/en-us/product/recycling-truck-10987,1.066,2+
Car Wash,26.39,243,https://www.lego.com/en-us/product/car-wash-60362,0.109,6+
Autumn's Horse Stable,47.99,545,https://www.lego.com/en-us/product/autumns-horse-stable-41745,0.088,7+
Boba Fett™ Mech,12.79,155,https://www.lego.com/en-us/product/tdb-lsw-2023-26-75369,0.083,6+
